Part Number,Quantity,Description
2576764,825,C5 / C13 / C1 / C2 / C12 / C11 / C26 / C8 / C19 / C23 / C32 / C34 / C36 / C38 / C39 / 
2750201,55,C6 / 
1759361,990,C7 / C10 / C3 / C4 / C15 / C14 / C27 / C9 / C31 / C30 / C20 / C22 / C24 / C28 / C29 / C33 / C35 / C37 / 
2346568,55,C16 / 
9406549,110,C17 / C18 / 
9451315,55,C21 / 
2426215,165,D1 / D4 / D8 / 
2426218,55,D2 / 
2426211,55,D3 / 
2677464,330,D5 / D6 / D9 / D10 / D14 / D15 / 
2425092,165,D11 / D12 / D7 / 
2426212,55,D16 / 
2834923,55,F1 / 
2724423,55,Q1 / 
1470014,330,R6 / R4 / R7 / R25 / R40 / R42 / 
2616760,165,R8 / R18 / R23 / 
1653053,330,R12 / R19 / R5 / R3 / R34 / R37 / 
1653077,330,R14 / R30 / R13 / R39 / R16 / R38 / 
1469975,110,R15 / R31 / 
2695161,55,R17 / 
1100217,110,R21 / R20 / 
1100137,330,R22 / R11 / R10 / R9 / R2 / R1 / 
1653122,55,R24 / 
2139391,330,R26 / R27 / R29 / R35 / R43 / R46 / 
1470008,55,R28 / 
2079007,110,R32 / R36 / 
2078999,165,R33 / R44 / R45 / 
2078992,55,R41 / 
1467755,220,U1 / U2 / U6 / U5 / 
1077155,55,U3 / 
2065857,55,U7 / 
2842970,55,U8 / 
2696647,55,U9 / 
9758500,55,U10 / 
1439484,55,U11 / 
